"year","mean","location","age","per1000"
1970,0.196474825684938,"Cambodia","Under 5",196.474825684938
1971,0.194180296752598,"Cambodia","Under 5",194.180296752598
1972,0.191926524169954,"Cambodia","Under 5",191.926524169954
1973,0.192961494155506,"Cambodia","Under 5",192.961494155506
1974,0.193415981695784,"Cambodia","Under 5",193.415981695784
1975,0.283351749194416,"Cambodia","Under 5",283.351749194416
1976,0.281182110698654,"Cambodia","Under 5",281.182110698654
1977,0.280681922288995,"Cambodia","Under 5",280.681922288995
1978,0.280836387877493,"Cambodia","Under 5",280.836387877493
1979,0.282091222610467,"Cambodia","Under 5",282.091222610467
1980,0.158443122581873,"Cambodia","Under 5",158.443122581873
1981,0.154536600105555,"Cambodia","Under 5",154.536600105555
1982,0.150269785007144,"Cambodia","Under 5",150.269785007144
1983,0.14609837451375,"Cambodia","Under 5",146.09837451375
1984,0.142105484392556,"Cambodia","Under 5",142.105484392556
1985,0.138497950252091,"Cambodia","Under 5",138.497950252091
1986,0.135423790594377,"Cambodia","Under 5",135.423790594377
1987,0.128261437854903,"Cambodia","Under 5",128.261437854903
1988,0.124221007793935,"Cambodia","Under 5",124.221007793935
1989,0.121791086177144,"Cambodia","Under 5",121.791086177144
1990,0.119307664318327,"Cambodia","Under 5",119.307664318327
1991,0.117444399494472,"Cambodia","Under 5",117.444399494472
1992,0.115452120827702,"Cambodia","Under 5",115.452120827702
1993,0.114164470802846,"Cambodia","Under 5",114.164470802846
1994,0.113663039123417,"Cambodia","Under 5",113.663039123417
1995,0.111907910014613,"Cambodia","Under 5",111.907910014613
1996,0.110008787498831,"Cambodia","Under 5",110.008787498831
1997,0.107271340929661,"Cambodia","Under 5",107.271340929661
1998,0.104012973197817,"Cambodia","Under 5",104.012973197817
1999,0.0999077503945491,"Cambodia","Under 5",99.9077503945491
2000,0.094784187095919,"Cambodia","Under 5",94.784187095919
2001,0.0892996358432471,"Cambodia","Under 5",89.2996358432471
2002,0.0836590899878064,"Cambodia","Under 5",83.6590899878064
2003,0.0779667810004983,"Cambodia","Under 5",77.9667810004983
2004,0.0723799075168426,"Cambodia","Under 5",72.3799075168426
2005,0.0669340493762635,"Cambodia","Under 5",66.9340493762635
2006,0.061858121284893,"Cambodia","Under 5",61.858121284893
