"year","mean","location","age"
1950,0.218452578664168,"East Asia","Under 5"
1950,0.0359090363364565,"East Asia","Neonatal"
1950,0.0202208034285477,"East Asia","Neonatal"
1951,0.209491056168063,"East Asia","Under 5"
1951,0.0339543708037308,"East Asia","Neonatal"
1951,0.0189632383928631,"East Asia","Neonatal"
1952,0.202920526600727,"East Asia","Under 5"
1952,0.0334005507599855,"East Asia","Neonatal"
1952,0.0184940773106055,"East Asia","Neonatal"
1953,0.197508805754646,"East Asia","Under 5"
1953,0.0329002781590078,"East Asia","Neonatal"
1953,0.018061810906318,"East Asia","Neonatal"
1954,0.19353238163887,"East Asia","Under 5"
1954,0.0325618984589768,"East Asia","Neonatal"
1954,0.0177278216095683,"East Asia","Neonatal"
1955,0.189014019111692,"East Asia","Under 5"
1955,0.0322455867523267,"East Asia","Neonatal"
1955,0.0174054536373217,"East Asia","Neonatal"
1956,0.183211113428487,"East Asia","Under 5"
1956,0.031536700767334,"East Asia","Neonatal"
1956,0.0168835444909895,"East Asia","Neonatal"
1957,0.177780084658929,"East Asia","Under 5"
1957,0.0309117281241031,"East Asia","Neonatal"
1957,0.0164157368329698,"East Asia","Neonatal"
1958,0.253282597784252,"East Asia","Under 5"
1958,0.030229798329022,"East Asia","Neonatal"
1958,0.0167831016841175,"East Asia","Neonatal"
1959,0.37183908761449,"East Asia","Under 5"
1959,0.0298701906543433,"East Asia","Neonatal"
1959,0.0179640209438714,"East Asia","Neonatal"
1960,0.562402844156318,"East Asia","Under 5"
1960,0.0304863906448767,"East Asia","Neonatal"
1960,0.0219471638499717,"East Asia","Neonatal"
1961,0.298983129870945,"East Asia","Under 5"
1961,0.0287367962039007,"East Asia","Neonatal"
1961,0.016214993924603,"East Asia","Neonatal"
1962,0.173588464682941,"East Asia","Under 5"
1962,0.0282129263457809,"East Asia","Neonatal"
1962,0.0145590226189655,"East Asia","Neonatal"
1963,0.149380878263801,"East Asia","Under 5"
1963,0.0278453068460066,"East Asia","Neonatal"
1963,0.0140988507553367,"East Asia","Neonatal"
1964,0.144152556428008,"East Asia","Under 5"
1964,0.0272177416056531,"East Asia","Neonatal"
1964,0.0136409377888768,"East Asia","Neonatal"
1965,0.138346326834808,"East Asia","Under 5"
1965,0.0264640667274574,"East Asia","Neonatal"
1965,0.0131053154021225,"East Asia","Neonatal"
1966,0.132696862323831,"East Asia","Under 5"
1966,0.0257068652374063,"East Asia","Neonatal"
1966,0.0125782298714033,"East Asia","Neonatal"
1967,0.127833241692102,"East Asia","Under 5"
1967,0.0250546117435893,"East Asia","Neonatal"
1967,0.0121334996448419,"East Asia","Neonatal"
1968,0.123542745257993,"East Asia","Under 5"
1968,0.0244962044372171,"East Asia","Neonatal"
1968,0.0117478659186579,"East Asia","Neonatal"
1969,0.118695309231379,"East Asia","Under 5"
1969,0.0238554773824466,"East Asia","Neonatal"
1969,0.0113133069009677,"East Asia","Neonatal"
1970,0.113448020009191,"East Asia","Under 5"
1970,0.0231514298703098,"East Asia","Neonatal"
1970,0.0108446501786214,"East Asia","Neonatal"
1971,0.108366892872625,"East Asia","Under 5"
1971,0.0224701227839619,"East Asia","Neonatal"
1971,0.0104007744195771,"East Asia","Neonatal"
1972,0.103756109330944,"East Asia","Under 5"
